source,platform,company,board_url,last_status,last_error,board_id,first_seen_utc,last_seen_utc
dead_confirmed,greenhouse,Streamlit,https://boards.greenhouse.io/streamlit,404,HTTP 404 (board not found),greenhouse:streamlit,2026-02-16T03:56:29.425655+00:00,2026-02-16T03:56:29.425655+00:00
dead_confirmed,greenhouse,Strikingly,https://boards.greenhouse.io/strikingly,404,HTTP 404 (board not found),greenhouse:strikingly,2026-02-16T03:56:29.533083+00:00,2026-02-16T03:56:29.533083+00:00
dead_confirmed,greenhouse,StrongDM,https://boards.greenhouse.io/strongdm,404,HTTP 404 (board not found),greenhouse:strongdm,2026-02-16T03:56:29.644892+00:00,2026-02-16T03:56:29.644892+00:00
dead_confirmed,greenhouse,SumoLogic,https://boards.greenhouse.io/sumologicinc,404,HTTP 404 (board not found),greenhouse:sumologicinc,2026-02-16T03:56:30.082331+00:00,2026-02-16T03:56:30.082331+00:00
dead_confirmed,greenhouse,Sunrun,https://boards.greenhouse.io/sunrun,404,HTTP 404 (board not found),greenhouse:sunrun,2026-02-16T03:56:30.172718+00:00,2026-02-16T03:56:30.172718+00:00
dead_confirmed,greenhouse,Super.com,https://boards.greenhouse.io/supercom,404,HTTP 404 (board not found),greenhouse:supercom,2026-02-16T03:56:30.268064+00:00,2026-02-16T03:56:30.268064+00:00
dead_confirmed,greenhouse,Superhuman,https://boards.greenhouse.io/superhuman,404,HTTP 404 (board not found),greenhouse:superhuman,2026-02-16T03:56:30.455217+00:00,2026-02-16T03:56:30.455217+00:00
dead_confirmed,greenhouse,Sutter Health,https://boards.greenhouse.io/sutterhealth,404,HTTP 404 (board not found),greenhouse:sutterhealth,2026-02-16T03:56:30.676851+00:00,2026-02-16T03:56:30.676851+00:00
dead_confirmed,greenhouse,Swagbucks,https://boards.greenhouse.io/swagbucks,404,HTTP 404 (board not found),greenhouse:swagbucks,2026-02-16T03:56:30.778942+00:00,2026-02-16T03:56:30.778942+00:00
dead_confirmed,greenhouse,Swiftly,https://boards.greenhouse.io/swiftly,404,HTTP 404 (board not found),greenhouse:swiftly,2026-02-16T03:56:30.978977+00:00,2026-02-16T03:56:30.978977+00:00
dead_confirmed,greenhouse,Swimlane,https://boards.greenhouse.io/swimlane,404,HTTP 404 (board not found),greenhouse:swimlane,2026-02-16T03:56:31.080094+00:00,2026-02-16T03:56:31.080094+00:00
dead_confirmed,greenhouse,Swvl,https://boards.greenhouse.io/swvl,404,HTTP 404 (board not found),greenhouse:swvl,2026-02-16T03:56:31.182525+00:00,2026-02-16T03:56:31.182525+00:00
dead_confirmed,greenhouse,Symbiont,https://boards.greenhouse.io/symbiont,404,HTTP 404 (board not found),greenhouse:symbiont,2026-02-16T03:56:31.279253+00:00,2026-02-16T03:56:31.279253+00:00
dead_confirmed,greenhouse,Symend,https://boards.greenhouse.io/symend,404,HTTP 404 (board not found),greenhouse:symend,2026-02-16T03:56:31.466310+00:00,2026-02-16T03:56:31.466310+00:00
dead_confirmed,greenhouse,Synopsys,https://boards.greenhouse.io/synopsys,404,HTTP 404 (board not found),greenhouse:synopsys,2026-02-16T03:56:31.792475+00:00,2026-02-16T03:56:31.792475+00:00
dead_confirmed,greenhouse,Synthego,https://boards.greenhouse.io/synthego,404,HTTP 404 (board not found),greenhouse:synthego,2026-02-16T03:56:31.980479+00:00,2026-02-16T03:56:31.980479+00:00
